CustID,Txns,Stores,AvgTxnValue,AvgTxnSize,AvgItems,MoB,PchActiveMths,PromoSales,Gender,HHOwn,HHType,HHSize,Age,Distance,Sales
CUST1,10,2,95.25,6.66,3.78,15,10,4,F,Rented,Flat,4,37,0.1112,935.92
CUST10,8,4,222.25,5.44,3.78,13,5,7,F,Owned,Apartment,5,30,5.2224,716.83
CUST100,10,7,151.25,2.36,1.91,18,9,9,F,Owned,Flat,2,33,4.4085,1148.13
CUST1000,6,2,163.00,9.20,4.16,16,3,1,F,Owned,Flat,3,40,0.0000,1786.40
CUST10000,5,3,147.65,8.32,7.44,24,2,5,M,Owned,Flat,4,28,5.6018,1803.71
CUST10001,13,2,99.55,1.13,0.18,17,3,13,F,Rented,Apartment,6,34,11.9667,1003.33
CUST10002,8,5,176.30,5.94,0.85,18,6,6,M,Owned,Flat,2,23,3.3109,1141.21
CUST10003,11,11,126.65,3.39,2.98,17,9,1,F,Rented,Apartment,2,31,5.8896,1013.00
CUST10004,14,14,147.90,2.19,1.66,15,4,7,M,Owned,Apartment,5,28,5.7107,866.61
CUST10005,6,5,184.90,6.18,0.88,15,2,3,F,Rented,Apartment,4,31,1.9716,872.64
CUST10006,6,4,231.15,7.75,4.72,15,2,5,M,Rented,Apartment,1,42,8.2157,825.44
CUST10007,9,5,115.90,4.31,1.14,20,6,9,F,Owned,Apartment,5,37,17.6067,1300.61
CUST10008,15,1,139.25,4.90,1.56,16,4,2,F,Rented,Flat,1,30,1.5221,948.90
CUST10009,10,1,66.15,3.19,2.88,16,3,2,F,Rented,Apartment,4,,9.8265,907.33
CUST1001,10,9,95.60,5.59,3.36,13,4,5,M,Owned,Apartment,4,46,11.8790,694.65
CUST10010,8,2,181.90,7.14,2.49,13,5,7,M,Rented,Apartment,1,26,5.0455,692.01
CUST10011,10,10,161.10,1.38,0.17,12,3,10,F,Rented,Apartment,4,32,2.8744,607.32
CUST10012,10,3,42.20,5.31,3.72,18,5,8,F,Owned,Flat,1,30,1.7891,1076.27
CUST10013,11,3,110.70,6.07,0.92,15,5,11,F,Rented,Apartment,2,29,1.2582,814.79
CUST10014,6,4,113.65,9.26,0.26,17,1,4,M,Rented,Flat,4,30,9.4735,1028.68
CUST10015,8,3,197.30,10.15,1.40,20,5,3,F,Rented,Apartment,3,42,3.3335,1331.88
CUST10016,7,2,267.05,3.46,1.76,24,4,6,M,Rented,Apartment,1,46,10.2322,1782.36
CUST10017,6,6,188.95,1.51,0.55,19,2,4,M,Rented,Flat,7,40,4.7213,1217.68
CUST10018,9,6,195.10,9.70,4.13,17,4,3,F,Owned,Apartment,2,25,1.5249,1027.66
CUST10019,12,6,67.05,6.31,2.53,18,7,4,M,Owned,Flat,1,37,8.5180,1078.87
CUST1002,8,2,183.35,4.78,0.06,15,3,6,F,Rented,Apartment,6,32,9.3794,911.89
CUST10020,4,2,150.95,6.99,0.39,18,4,1,M,Rented,Apartment,1,29,3.7175,1124.94
CUST10021,6,1,196.90,5.40,4.18,15,4,3,F,Rented,Apartment,2,32,11.9471,843.43
CUST10022,12,10,119.15,6.55,5.25,18,2,6,F,Rented,Flat,3,26,2.1955,1102.69
CUST10023,11,4,122.20,3.57,0.56,19,10,3,M,Rented,Apartment,2,32,11.8453,1205.38
CUST10024,8,5,211.20,4.81,1.12,13,4,4,M,Rented,Apartment,2,31,7.8359,683.86
CUST10025,9,1,145.00,7.71,3.20,14,4,8,M,Owned,Flat,3,27,21.8463,752.70
CUST10026,7,6,171.40,3.63,0.53,14,5,1,F,Rented,Flat,2,34,4.9800,769.20
CUST10027,7,5,184.95,13.01,7.65,15,7,6,M,Rented,Apartment,4,38,3.8379,839.26
CUST10028,12,12,112.50,2.27,1.12,13,10,7,F,Rented,Flat,3,26,2.9279,670.63
CUST10029,12,7,111.40,4.58,1.26,16,1,11,F,Rented,Flat,3,33,4.6372,908.64
CUST1003,8,1,181.60,4.21,3.49,15,6,2,F,Owned,Apartment,2,24,6.9881,813.50
CUST10030,6,5,143.40,5.32,1.19,15,2,6,M,Rented,Apartment,1,33,3.0021,862.22
CUST10031,9,1,223.65,8.55,5.30,21,5,7,F,Rented,Apartment,4,35,7.3498,1458.09
CUST10032,9,8,121.55,8.39,6.72,13,6,8,F,Rented,Apartment,1,26,1.6222,697.65
CUST10033,10,9,123.95,4.29,0.95,17,6,8,M,Rented,Apartment,2,29,8.8093,966.30
CUST10034,6,2,136.70,4.45,3.05,19,5,5,F,Rented,Apartment,3,41,7.4015,1238.78
CUST10035,7,1,176.55,4.84,1.50,22,3,5,F,Owned,Apartment,4,31,2.7668,1535.21
CUST10036,7,1,216.90,4.78,1.55,18,6,4,M,Owned,Apartment,5,33,6.4793,1129.54
CUST10037,11,11,144.80,1.94,0.26,16,9,2,F,Rented,Apartment,2,40,10.3181,938.43
CUST10038,9,2,162.95,6.32,1.66,18,5,3,F,Owned,Apartment,4,26,3.6518,1130.88
CUST10039,11,7,102.30,5.88,1.78,21,7,1,F,Owned,Apartment,3,57,6.8112,1436.52
CUST1004,8,5,204.55,6.43,3.23,19,5,2,M,Owned,Apartment,2,29,0.7283,1207.21
CUST10040,8,7,226.10,8.18,5.88,16,7,8,M,Rented,Apartment,1,36,2.0592,931.01
CUST10041,11,10,26.80,4.17,1.90,22,3,4,F,Rented,Apartment,2,36,7.6510,1540.87
CUST10042,11,5,99.60,6.02,3.75,17,2,4,M,Owned,Flat,6,35,0.3410,1002.73
CUST10043,9,8,109.05,3.76,1.47,18,9,7,F,Owned,Apartment,4,29,1.7736,1144.70
CUST10044,7,1,173.50,6.12,5.94,29,6,1,F,Rented,Flat,3,28,6.7131,2543.92
CUST10045,6,1,225.20,14.72,3.28,24,4,4,F,Rented,Flat,3,33,7.3886,1838.53
CUST10046,13,1,92.30,2.44,0.42,16,3,6,F,Rented,Apartment,4,25,7.9673,943.92
CUST10047,7,6,169.80,6.69,5.98,16,3,2,F,Rented,Apartment,3,41,3.8824,954.14
CUST10048,6,1,122.90,7.99,1.21,22,1,2,F,Rented,Apartment,5,24,7.7617,1553.33
CUST10049,8,1,238.55,8.00,6.79,14,3,3,M,Rented,Apartment,4,25,3.6036,751.26
CUST1005,10,9,68.30,5.06,4.49,13,2,5,M,Rented,Apartment,1,29,10.4183,689.71
CUST10050,6,2,168.35,5.66,0.40,19,1,1,M,Rented,Flat,4,37,8.4290,1199.16
CUST10051,7,1,242.30,7.65,0.94,25,3,2,M,Rented,Apartment,4,32,5.2218,1946.60
CUST10052,11,2,109.85,5.96,1.13,15,11,2,F,Rented,Apartment,2,25,5.4701,824.63
CUST10053,9,8,119.45,2.17,0.19,15,9,4,F,Rented,Apartment,2,27,7.8100,855.18
CUST10054,9,3,204.00,7.83,5.03,15,8,6,F,Owned,Apartment,3,27,9.4114,858.54
